uuid;name;id;p_income_0;p_income_1;p_income_2;p_income_3
091b8fd0-a5b1-4c59-acb2-40759e131801;Albacenter;3;39.24;60.18;0.47;0.11
69dda3aa-efa6-4149-9481-3e1260141dc2;Alegra - Parque Comercial y de Ocio;5;65.27;20.7;11.67;2.36
91e8cf7c-ece3-4e27-9eed-4a146790bbb7;Almazara Plaza;6;95.23;4.64;0.1;0.03
4916aafd-1c0b-4e27-b2b0-61f7755fb4f3;Arena Multiespacio;9;73.01;24.04;2.87;0.09
c61e2cc5-ff63-4fe8-aa4a-abf1b1d7be16;As Termas;10;81.12;18.55;0.23;0.1
f066cf28-e91c-4ce3-a0e9-e87370fd0445;Castellana 200;11;28.68;45.17;9.79;16.36
135cd769-31c8-4240-a5af-adf6a132aaec;Conquistadores;13;64.64;35.06;0.2;0.1
0c2639f4-bec1-428e-abad-c95a3a78de58;Coruña The Style Outlets;50;31.68;64.97;2.08;1.26
b3c672c8-277c-4dd2-8450-802c3daca800;El Arcángel;95;86.39;13.21;0.29;0.11
db21a149-6720-4f2d-8cd5-e40df385d04b;El Deleite;57;77.42;21.59;0.66;0.33
cbb1f955-6ce2-4dd7-8c26-4bb8d4085418;El Encinar;67;29.87;25.95;18.01;26.17
d6e10447-60ed-4a71-a658-ec05fbe6b017;El Parque de Ciudad Real;16;52.34;46.87;0.59;0.19
14d4d04b-c417-4149-8146-d791064f5a8f;El Paseo;17;90.09;9.64;0.2;0.07
c494f3fd-545f-43dd-90ac-f15444c92879;El Restón;44;35.97;62.43;1.16;0.44
7ff3cca7-ed09-4cf6-b3ab-66d27f30939c;El Rosal;18;53.72;45.94;0.26;0.07
51cdbe4b-9a08-41e3-9dff-4dce61719a8f;Espacio Coruña;19;30.69;62.68;3.71;2.92
1ae1ee31-2236-4b08-ac6d-da75d590ced2;Espacio León;20;63.0;36.56;0.32;0.13
44dfcbc9-7df0-4da0-9882-0b07e36ef9d4;FINESTRELLES SHOPPING CENTRE;58;39.72;45.8;7.5;6.99
6723e314-b093-4de2-bafa-1775196d1234;Getafe The Style Outlets;45;68.09;27.96;2.88;1.06
a9652ebd-80a7-4e3c-9c82-da5a33132fa2;Gran Plaza 2;25;24.48;41.38;33.28;0.85
4f86178d-a155-40d0-977b-657954882fed;Gran Vía 2;26;24.06;53.47;19.62;2.84
d44960b0-d717-4fa8-a81c-4d6285b8f6b4;Gran Vía de Vigo;27;57.16;42.61;0.17;0.06
b345570b-20c8-4b90-b0ed-9ddaabdec93e;GranCasa;24;71.77;27.81;0.34;0.09
bf207f85-1735-4979-85d2-289f183bf178;L'Illa Diagonal;2;19.21;44.69;21.85;14.25
b2fd26f7-6048-4f10-8eba-5f90879f470e;La Farga;29;36.68;56.99;4.59;1.74
b33e9212-926d-45da-9f83-683b27a904b6;Las Rozas The Style Outlets;46;27.54;39.72;31.3;1.44
27630773-db74-4220-a055-00237a25da71;Los Alcores;4;91.03;8.77;0.16;0.03
67c19fe9-6b90-440c-954c-d6f652cd122a;Luz de Castilla;31;62.96;34.91;1.51;0.62
9a893048-055e-43ae-b7ef-1c1165f64320;Madrid Sur;32;85.76;10.24;3.23;0.76
ae7e12dd-92d3-4d52-b6c2-fe9184bd8c34;Manoteras;33;24.4;38.23;6.18;31.2
39f7933c-5cbc-4d42-908e-6bd88c55c50c;Max Center;34;15.98;79.25;0.43;4.34
dcf50bbc-4e24-4495-b240-80a3497e99a4;Moda Shopping;35;29.61;46.84;12.56;10.99
e2aef294-794c-4674-9509-6c15225543af;Parque Corredor;101;71.87;23.85;3.12;1.16
2560337e-ad93-46bc-a944-73428173bc69;Plaza Loranca 2;63;71.47;26.73;1.5;0.3
fe152407-9e68-4ccb-8dcc-0032f6d68c1a;Plaza Mayor;40;87.73;11.47;0.57;0.23
a8d2120d-8649-4d03-97dc-e384b935406c;Plaza Moraleja;96;34.53;35.07;20.11;10.3
907fe0e5-f500-493f-92bd-3dfc70929688;Plaza Norte 2;41;44.1;25.56;25.63;4.7
a292aa57-8504-407d-96f2-783b80fdc527;Plaza Río 2;42;59.77;34.61;4.36;1.26
d96a47c5-f5e7-4a23-8d55-f9ff344613f6;Plaza de Aluche;38;81.38;12.83;5.08;0.7
ae2b6114-0ded-4bef-b0cb-3c94c6571797;Portal de la Marina;43;88.01;10.64;1.2;0.15
4173c481-8f24-413a-a53d-1432d966dddc;San Sebastián de los Reyes The Style Outlets;48;59.95;25.45;11.86;2.73
1ae5e620-424c-4dbe-8ec3-6dbd72584b9b;Valle Real;51;66.18;30.18;3.32;0.31
c42f0753-e80d-4354-abe3-9e7fe5dd7600;Zubiarte;54;9.72;72.42;0.61;17.25
d04597e6-51fd-457d-a302-12e381a71361;Ànecblau;7;37.18;40.15;14.9;7.77
c52d5f56-1f93-40dd-a167-d60d9a103807;Área Sur;55;88.87;10.84;0.21;0.09
