name,id
L'Illa Diagonal,2
Albacenter,3
Los Alcores,4
Alegra - Parque Comercial y de Ocio,5
Almazara Plaza,6
Ànecblau,7
Arena Multiespacio,9
As Termas,10
Castellana 200,11
Conquistadores,13
Nuestro Bogotá,15
El Parque de Ciudad Real,16
El Paseo,17
El Rosal,18
Espacio Coruña,19
Espacio León,20
GranCasa,24
Gran Plaza 2,25
Gran Vía 2,26
Gran Vía de Vigo,27
La Farga,29
Luz de Castilla,31
Madrid Sur,32
Manoteras,33
Max Center/Ocio,34
Moda Shopping,35
Plaza Aluche,38
Plaza Eboli,39
Plaza Mayor,40
Plaza Norte 2,41
Plaza Río 2,42
Portal de la Marina,43
El Restón,44
Getafe The Style Outlets,45
Las Rozas The Style Outlets,46
San Sebastián de los Reyes The Style Outlets;,48
Tres Aguas,49
Coruña The Style Outlets,50
Valle Real,51
Zubiarte,54
Área Sur,55
Añaza (ext),56
El Deleite,57
Finestrelles Shopping Centre,58
L'Illa Diagonal (CAM),59
Nassica,60
La Villa (ext),61
Las Pirámides (ext),62
Plaza Loranca 2,63
Mogan Mall (ext),64
Atlantis,65
Centro Mayor,66
El Encinar,67
Plaza Central,68
Plaza Imperial,69
San Rafael,70
Santa Fe Centro,71
Premium Plaza Medellín,72
Titan Plaza,73
LEDS Castellana 200,74
LEDS Finestrelles,75
LEDS Gran Plaza 2,76
LEDS Gran Via 2,77
LEDS Portal de la Marina,78
LEDS Añaza (ext),79
LEDS La Villa (ext),80
RED Supermercados,81
Jockey Plaza,82
La Rambla Breña,83
La Rambla Breña (Videowall),84
La Rambla San Borja,85
La Rambla San Borja (Videowall),86
Mall Santa Anita,88
Mall Arequipa,89
Megaplaza iCURVE,90
Megaplaza,91
Minka,92
Molina Plaza,93
Plaza San Miguel,94
El Arcángel,95
Plaza Moraleja,96
Megaplaza Villa el Salvador,97
Megaplaza Chorillos,98
Larcomar,99
Mall Aventura Chiclayo,100
Parque Corredor,101
