,Screen ID,Screen name,Facing direction,Site ID,Network,Venue type,Floor CPM,Languages,Tags,Screen width (px),Screen height (px),Active,Available for ad server,Available for deals,Available for open exchange,Default ad duration,Minimum ad duration,Maximum ad duration,Allow HTML,Allow images,Allow videos,Allow zip,Allow audio-only files,Advertiser frequency cap,IAB categories,Multiplier vendor,Multiplier vendor screen ID,Strict IAB category blocking,Strict IAB frequency capping,IAB category frequency cap,Latitude,Longitude,Time zone,Operating hours
1,0,SPAIN--1 screens-v.01,,181154295,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,43.290645,-8.370797,Europe/Madrid,
4,809364504,SPAIN-LEDS GRAN PLAZA 2 FOODCOURT-1 screens-v.01,,851222828,iwallinshop,Retail – Mall,5,All / Universal,,1280,720,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.491179,-3.898515,Europe/Madrid,
5,809364063,SPAIN-LEDS GRAN PLAZA 2 FOODCOURT-1 screens-v.01,,851222828,iwallinshop,Retail – Mall,5,All / Universal,,1280,720,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.491179,-3.898515,Europe/Madrid,
7,809365017,SPAIN-LEDS GRAN PLAZA 2 FOODCOURT-1 screens-v.01,,851222828,iwallinshop,Retail – Mall,5,All / Universal,,1280,720,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.491179,-3.898515,Europe/Madrid,
8,842297082,SPAIN-LEDS GRAN PLAZA 2 FOODCOURT-1 screens-v.01,,851222828,iwallinshop,Retail – Mall,5,All / Universal,,1280,720,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.491179,-3.898515,Europe/Madrid,
9,809364720,SPAIN-LEDS GRAN PLAZA 2 FOODCOURT-1 screens-v.01,,851222828,iwallinshop,Retail – Mall,5,All / Universal,,1280,720,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.491179,-3.898515,Europe/Madrid,
10,391690470,SPAIN-TSO GETAFE-2 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
11,474113755,SPAIN-TSO GETAFE-1 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
12,489028749,SPAIN-TSO SSRR-1 screens-v.01,,49758229,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.56776,-3.608608,Europe/Madrid,
13,145442054,SPAIN-PLAZA NORTE 2-1 screens-v.01,,49770108,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.540638,-3.615327,Europe/Madrid,
14,316868963,SPAIN-LEDS FINESTRELLES-1 screens-v.01,,355617930,iwallinshop,Retail – Mall,5,All / Universal,,1920,1080,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,41.377282,2.098242,Europe/Madrid,
15,805686184,SPAIN-LEDS LA VILLA-1 screens-v.01,,553164546,iwallinshop,Retail – Mall,5,All / Universal,,1920,1080,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,28.3957,-16.5474,Europe/Madrid,
16,817168514,SPAIN-LEDS CASTELLANA 200 EXTERIOR-1 screens-v.01,,851223404,iwallinshop,Retail – Mall,5,All / Universal,,1920,1080,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.46246,-3.68879,Europe/Madrid,
17,875913936,SPAIN-LEDS PLAZA NORTE 2-1 screens-v.01,,875766842,iwallinshop,Retail – Mall,5,All / Universal,,2048,896,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.54085,-3.613513,Europe/Madrid,
18,875913568,SPAIN-LEDS PLAZA NORTE 2-1 screens-v.01,,875766842,iwallinshop,Retail – Mall,5,All / Universal,,2048,896,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.54085,-3.613513,Europe/Madrid,
19,343745641,SPAIN-LEDS GRANVIA2-1 screens-v.01,,355618367,iwallinshop,Retail – Mall,5,All / Universal,,2304,1280,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,41.359079,2.12971,Europe/Madrid,
20,761868773,SPAIN-LEDS PARQUE CORREDOR-1 screens-v.01,,714091969,iwallinshop,Retail – Mall,5,All / Universal,,1920,1080,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.476442,-3.480482,Europe/Madrid,
21,761863694,SPAIN-LEDS PARQUE CORREDOR-1 screens-v.01,,714091969,iwallinshop,Retail – Mall,5,All / Universal,,1920,1080,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.476442,-3.480482,Europe/Madrid,
22,360547288,SPAIN-LEDS PORTAL DE LA MARINA-1 screens-v.01,,355618376,iwallinshop,Retail – Mall,5,All / Universal,,1040,624,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,38.818322,0.023608,Europe/Madrid,
23,338983645,SPAIN-LEDS PORTAL DE LA MARINA-1 screens-v.01,,355618376,iwallinshop,Retail – Mall,5,All / Universal,,1040,624,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,38.818322,0.023608,Europe/Madrid,
24,338967820,SPAIN-LEDS PORTAL DE LA MARINA-1 screens-v.01,,355618376,iwallinshop,Retail – Mall,5,All / Universal,,1040,624,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,38.818322,0.023608,Europe/Madrid,
28,871758063,SPAIN-GRAN PLAZA 2-2 screens-v.01,,49759419,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.492245,-3.900056,Europe/Madrid,
29,846587219,SPAIN-MADRID SUR-1 screens-v.01,,194348065,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.381043,-3.662275,Europe/Madrid,
31,97152160,SPAIN-TSO SSRR-2 screens-v.01,,49758229,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.56776,-3.608608,Europe/Madrid,
35,170262196,SPAIN-CASTELLANA 200-2 screens-v.01,,49566272,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.46246,-3.68879,Europe/Madrid,
39,181220270,SPAIN-TSO CORUÑA-2 screens-v.01,,181154295,iwallinshop,Retail – Mall,5,All / Universal,,720,1280,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,43.290645,-8.370797,Europe/Madrid,
40,181247950,SPAIN-TSO CORUÑA-2 screens-v.01,,181154295,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,43.290645,-8.370797,Europe/Madrid,
42,184210149,SPAIN-CASTELLANA 200-1 screens-v.01,,49566272,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.46246,-3.68879,Europe/Madrid,
46,299833719,SPAIN-AREA SUR-1 screens-v.01,,288956367,iwallinshop,Retail – Mall,5,All / Universal,,1920,1080,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,36.69157,-6.15588,Europe/Madrid,
47,307851164,SPAIN-TSO SSRR-2 screens-v.01,,49758229,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.56776,-3.608608,Europe/Madrid,
48,395051387,SPAIN-TSO GETAFE-1 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
52,466321199,SPAIN-TSO CORUÑA-1 screens-v.01,,181154295,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,43.290645,-8.370797,Europe/Madrid,
53,57649867,SPAIN-TSO GETAFE-1 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
54,474101515,SPAIN-TSO GETAFE-1 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
58,280289788,SPAIN-TSO GETAFE-2 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
65,167053691,SPAIN-PLAZA MAYOR-1 screens-v.01,,21022434,iwallinshop,Retail – Mall,5,All / Universal,,720,1280,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,36.657055,-4.476779,Europe/Madrid,
66,442359188,SPAIN-PLAZA MAYOR-1 screens-v.01,,21022434,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,36.657055,-4.476779,Europe/Madrid,
69,401800739,SPAIN-CASTELLANA 200-1 screens-v.01,,49566272,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.46246,-3.68879,Europe/Madrid,
72,142915038,SPAIN-PLAZA NORTE 2-2 screens-v.01,,49770108,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.540638,-3.615327,Europe/Madrid,
77,867423923,SPAIN-TSO GETAFE-2 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
83,864734381,SPAIN-PLAZA NORTE 2-1 screens-v.01,,49770108,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.540638,-3.615327,Europe/Madrid,
84,444158993,SPAIN-PLAZA MAYOR-1 screens-v.01,,21022434,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,36.657055,-4.476779,Europe/Madrid,
85,443946109,SPAIN-PLAZA NORTE 2-4 screens-v.01,,49770108,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.540638,-3.615327,Europe/Madrid,
86,643220139,SPAIN-PLAZA NORTE 2-3 screens-v.01,,49770108,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.540638,-3.615327,Europe/Madrid,
87,531011953,SPAIN-TSO SSRR-1 screens-v.01,,49758229,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.56776,-3.608608,Europe/Madrid,
94,872359667,SPAIN-TSO GETAFE-1 screens-v.01,,49703179,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.27219,-3.694407,Europe/Madrid,
97,660813784,SPAIN-ESPACIO LEON-1 screens-v.01,,21016084,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,42.612148,-5.59548,Europe/Madrid,
100,806468826,SPAIN-LA VILLA-2 screens-v.01,,553164637,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,28.3957,-16.5474,Europe/Madrid,
108,809364451,SPAIN-LEDS GRAN PLAZA 2 HASTIAL-1 screens-v.01,,851223380,iwallinshop,Retail – Mall,5,All / Universal,,2304,1280,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.491179,-3.898515,Europe/Madrid,
111,885978481,SPAIN-PLAZA NORTE 2-2 screens-v.01,,49770108,iwallinshop,Retail – Mall,5,All / Universal,,1080,1920,true,true,true,true,12,10,30,true,true,true,true,false,0.0,,,,false,false,,40.540638,-3.615327,Europe/Madrid,
